Ranking,Track,Artista,Album,Fecha_Release,Popularidad,Duracion_Milisegundos
77,Drunk on You,burke.,Drunk on You,4/19/2024,37,203756
78,Tennessee Tuff,Terry Glen Adams,Tennessee Tuff,3/22/2024,36,209555
79,If He Wanted To He Would,Kylie Morgan,P.S.,7/1/2022,68,174173
80,Like I Love Country Music,Kane Brown,Like I Love Country Music,5/6/2022,62,234340
81,Dancin’ In The Country,Tyler Hubbard,Dancin' In The Country,1/27/2023,72,179640
82,What My World Spins Around,Jordan Davis,What My World Spins Around,2/17/2023,74,186800
83,Miles Run Out,Zebb Rogers,Miles Run Out,4/12/2024,37,195846
84,Half Of Me,Thomas Rhett,Where We Started,4/1/2022,67,183026
85,Backroad,Sul Ross Band,Good Gone Bad,6/1/2015,36,228266
86,Fall In Love,Bailey Zimmerman,Fall In Love,1/11/2023,75,232058
87,Don't Think Jesus,Morgan Wallen,Don't Think Jesus,4/15/2022,58,226975
88,No Hard Feelings,Old Dominion,"Time, Tequila & Therapy",10/8/2021,57,191360
89,23,Sam Hunt,23,9/9/2021,64,179720
90,Dancin' In The Moonlight,Chris Lane,Dancin' In The Moonlight,5/20/2022,54,199000
91,Broadway Girls (feat. Morgan Wallen),Lil Durk,Broadway Girls (feat. Morgan Wallen),3/10/2022,78,185600
92,Wild as Her,Corey Kent,Wild as Her,6/2/2023,70,201066
93,What He Didn't Do,Carly Pearce,29: Written In Stone,9/17/2021,67,191226
94,Thought You Should Know,Morgan Wallen,Thought You Should Know,3/3/2023,76,215571
95,Buy Dirt,Jordan Davis,Buy Dirt,5/21/2021,80,167480
96,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Taylor Swift,Red (Taylor's Version),11/12/2021,70,285106
97,Flower Shops,ERNEST,Flower Shops,3/11/2022,72,214405
98,Wilder Days,Morgan Wade,Reckless,3/19/2021,61,251293
99,Til You Can't,Cody Johnson,Human The Double Album,10/8/2021,73,224213
100,If I Didn't Love You,Jason Aldean,If I Didn't Love You,11/12/2021,66,212893
