id;lugar;latitud;longitud
1;Nueva York;40.7128;-74.0060
2;Los Angeles;34.0522;-118.2437
3;Londres;51.5074;-0.1278
4;Tokio;35.6762;139.6503
5;Sidney;-33.8688;151.2093
6;Ciudad de Mexico;19.4326;-99.1332
7;Paris;48.8566;2.3522
8;Berlin;52.5200;13.4050
9;Moscu;55.7558;37.6173
10;Sao Paulo;-23.5505;-46.6333
